Question,Level,Solution
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
"1. Comment te nommes-tu? (What is your name?)
2. Comment vas-tu? (How are you?)
3. Où habites-tu? (Where do you live?)
4. Quel est ton âge? (What is your age?)
5. Quel est ton profession? (What is your profession?)
6. Comment te sens-tu aujourd'hui? (How do you feel today?)
7. Quel",French,
